1,167164071;11
0,375777674;36
0,122110307;34
11,60936232;18
10,65645053;27
0,596224406;2
10,04248317;3
11,71945591;41
2,643193468;6
1,008703198;35
4,30637924;40
8,798198173;41
7,225730665;36
5,416449716;48
10,95364374;16
0,038127177;51
6,120956711;29
1,73353104;34
6,055798776;48
6,818576569;12
7,70604267;50
2,483205873;10
4,082245888;48
3,929691114;49
7,379578303;10
7,094276827;4
8,255089228;14
1,99725368;28
7,826729685;40
9,22365195;31
4,749196456;17
4,755169949;23
8,305442724;43
2,852075951;32
11,38659254;15
1,629028223;27
6,138185816;45
0,497169089;10
3,748915074;42
3,861240776;10
